,ios_current_ratings,ios_all_ratings,android_avg_rating,android_total_ratings,android_ratings_5,android_ratings_4,android_ratings_3,android_ratings_2,android_ratings_1
2016-07-21 07:40:00,5668.0,107460.0,3.9,1292537.0,732956.0,732956.0,732956.0,732956.0,732956.0
2016-07-21 07:50:00,5668.0,107460.0,3.9,1292537.0,732956.0,732956.0,732956.0,732956.0,732956.0
2016-07-21 08:00:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 08:10:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 08:20:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 08:30:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 08:40:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 08:50:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 09:00:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 09:10:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 09:20:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 09:30:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 09:40:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 09:50:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 10:00:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 10:10:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 10:20:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 10:30:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 10:40:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 10:50:00,5668.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 11:00:00,5668.0,107972.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 11:10:00,6203.0,107460.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 11:20:00,6203.0,107972.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 11:30:00,6203.0,107972.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 11:40:00,6203.0,107972.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 11:50:00,6203.0,107972.0,3.9,1305525.0,740436.0,740436.0,740436.0,740436.0,740436.0
2016-07-21 12:00:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 12:10:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 12:20:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 12:30:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 12:40:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 12:50:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 13:00:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 13:10:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 13:20:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 13:30:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 13:40:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 13:50:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 14:00:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 14:10:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 14:20:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 14:30:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 14:40:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 14:50:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 15:00:00,6203.0,107972.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 15:10:00,6203.0,108570.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 15:20:00,6842.0,108570.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 15:30:00,6842.0,108570.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 15:40:00,6842.0,108570.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 15:50:00,6842.0,108570.0,3.9,1319394.0,748562.0,748562.0,748562.0,748562.0,748562.0
2016-07-21 16:00:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 16:10:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 16:20:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 16:30:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 16:40:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 16:50:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 17:00:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
